"","original_family","original_name","name_in_Flora","original_ID","final_family","scientificName","taxonID","vernacular_names","notes","tax_notes","notes_fam","nombre","establishmentMeans","occurrenceRemarks","location","lifeForm","vegetationType","habitat"
"349","Fabaceae","Luetzelburgia bahiensis Yakovlev","Luetzelburgia bahiensis Yakovlev",18701,"Fabaceae","Luetzelburgia bahiensis Yakovlev",18701,"Carne-d'anta-PORTUGUES-Bahia/Moela-de-galinha-PORTUGUES-Bahia/Pau-de-ema-PORTUGUES-Bahia/Pau-mocó-PORTUGUES-Bahia","LFB","name ok","","Luetzelburgia bahiensis","NATIVA","Endemica/Caatinga","BR-PI-BR-PE-BR-BA","Arbusto-Árvore","Caatinga (stricto sensu)","Terrícola"
"350","Asteraceae","Lychnophora salicifolia Mart.","Lychnophora salicifolia Mart.",16181,"Asteraceae","Lychnophora salicifolia Mart.",16181,NA,"LFB","name ok","","Lychnophora salicifolia","NATIVA","Endemica/Cerrado","BR-MG-BR-BA-BR-GO-BR-DF","Árvore","Campo rupestre-Cerrado (lato sensu)","Terrícola"
"351","Fabaceae","Machaerium cantarellianum Hoehne","Machaerium cantarellianum Hoehne",101136,"Fabaceae","Machaerium cantarellianum Hoehne",101136,"Jacarandá-bico-de-pato-PORTUGUES-NA/Jacarandá-trepador-PORTUGUES-NA","LFB","name ok","","Machaerium cantarellianum","NATIVA","Endemica/Mata Atlântica","BR-SP-BR-RJ-BR-MG-BR-ES","Arbusto-Árvore-Liana/volúvel/trepadeira","Floresta Estacional Semidecidual-Floresta Ombrófila (= Floresta Pluvial)","Terrícola"
"352","Fabaceae","Machaerium punctatum Pers.","Machaerium punctatum (Poir.) Pers.",83326,"Fabaceae","Machaerium punctatum (Poir.) Pers.",83326,NA,"LFB","name ok","","Machaerium punctatum","NATIVA","Endemica/Caatinga-Endemica/Cerrado-Endemica/Mata Atlântica","BR-MG-BR-RJ-BR-BA","Arbusto-Árvore","Caatinga (stricto sensu)-Campo rupestre-Cerrado (lato sensu)-Floresta Estacional Semidecidual","Terrícola"
"353","Fabaceae","Machaerium salzmannii Benth.","Machaerium salzmannii Benth.",18735,"Fabaceae","Machaerium salzmannii Benth.",18735,"Cipó-siqueira-PORTUGUES-NA/Mata-pau-PORTUGUES-NA","LFB","name ok","","Machaerium salzmannii","NATIVA","Endemica/Mata Atlântica","BR-ES-BR-PE-BR-PB-BR-BA-BR-AL","Arbusto-Árvore-Liana/volúvel/trepadeira","Floresta Estacional Semidecidual-Floresta Ombrófila (= Floresta Pluvial)","Terrícola"
"354","Fabaceae","Macrolobium campestre Huber","Macrolobium campestre Huber",23069,"Fabaceae","Macrolobium campestre Huber",23069,NA,"LFB","name ok","","Macrolobium campestre","NATIVA","Endemica/Amazônia","BR-MT-BR-MA-BR-RO-BR-PA-BR-AP-BR-AM-BR-AC","Arbusto-Árvore","Campinarana-Floresta de Igapó-Floresta Ombrófila (= Floresta Pluvial)","Terrícola"
"355","Monimiaceae","Macropeplus ligustrinus Perkins","Macropeplus ligustrinus (Tul.) Perkins",10066,"Monimiaceae","Macropeplus ligustrinus (Tul.) Perkins",10066,NA,"LFB","name ok","","Macropeplus ligustrinus","NATIVA","Endemica/Cerrado-Endemica/Mata Atlântica","BR-MG-BR-BA-BR-GO-BR-DF","Arbusto-Árvore","Campo rupestre-Floresta Ciliar ou Galeria-Floresta Estacional Semidecidual","Terrícola"
"356","Fabaceae","Macrosamanea duckei (Huber) Barneby & J.W.Grimes","Macrosamanea duckei (Huber) Barneby & J.W.Grimes",83379,"Fabaceae","Macrosamanea duckei (Huber) Barneby & J.W.Grimes",83379,NA,"LFB","name ok","","Macrosamanea duckei","NATIVA","Endemica/Amazônia","BR-RO-BR-PA-BR-AM","Arbusto-Árvore-Liana/volúvel/trepadeira","Floresta de Igapó-Floresta de Várzea","Terrícola"
"357","Salicaceae","Macrothumia kuhlmannii (Sleumer) M.H.Alford","Macrothumia kuhlmannii (Sleumer) M.H.Alford",14388,"Salicaceae","Macrothumia kuhlmannii (Sleumer) M.H.Alford",14388,NA,"LFB","name ok","","Macrothumia kuhlmannii","NATIVA","Endemica/Mata Atlântica","BR-MG-BR-ES-BR-BA","Árvore","Cerrado (lato sensu)-Floresta Ombrófila (= Floresta Pluvial)","Terrícola"
"358","Euphorbiaceae","Manihot epruinosa Pax & K.Hoffm.","Manihot epruinosa Pax & K.Hoffm.",17599,"Euphorbiaceae","Manihot carthagenensis (Jacq.) Müll.Arg.",29288,NA,"LFB","synonym","","Manihot carthagenensis","NATIVA","Não endemica/Amazônia-Não endemica/Caatinga-Não endemica/Cerrado","BR-SE-BR-RN-BR-PI-BR-MA-BR-AL-BR-PA-BR-AM-BR-MG-BR-PE-BR-PB-BR-CE-BR-BA","Arbusto-Árvore","Caatinga (stricto sensu)-Floresta Estacional Semidecidual-Floresta Ombrófila (= Floresta Pluvial)","Terrícola"
